[1/4] build frozen encoder from /data1/likun-share/junjxu/.stable_worldmodel/lewm_paper_pusht/weights.pt (emb_source=cls)
00:18:43 | INFO  | __init__.py | PyTorch version 2.9.1+cu128 available.
00:18:43 | INFO  | __init__.py | JAX version 0.6.2 available.
00:18:45 | INFO  | atomic_chec~| [atomic_save] installed crash-safe checkpoint plugin (write to sibling .tmp + fsync + atomic rename)
00:18:45 | INFO  | utils.py    | Created ViT-tiny from scratch with config: {'hidden_size': 192, 'num_hidden_layers': 12, 'num_attention_heads': 3, 'intermediate_size': 768, 'image_size': 224, 'patch_size': 14}
[encoder] loaded 198/198 encoder weights, missing=0 unexpected=0
      emb_dim = 192
[2/4] load pixels for uniform_motion
      32000 frames, (3, 224, 224)
[3/4] precompute embeddings (frozen encoder)
  embed 256/32000
  embed 5376/32000
  embed 10496/32000
  embed 15616/32000
  embed 20736/32000
  embed 25856/32000
  embed 30976/32000
      done in 10.3s, emb (32000, 192)
[4/4] train decoder: 28800 train / 3200 val, 40 epochs
  ep   1 | train 0.3232 | val_mse 0.01131 | val_psnr 19.47 dB | lr 2.00e-04
  ep   2 | train 0.0567 | val_mse 0.00302 | val_psnr 25.19 dB | lr 1.99e-04
  ep   3 | train 0.0212 | val_mse 0.00148 | val_psnr 28.30 dB | lr 1.97e-04
  ep   4 | train 0.0117 | val_mse 0.00123 | val_psnr 29.09 dB | lr 1.95e-04
  ep   5 | train 0.0078 | val_mse 0.00108 | val_psnr 29.68 dB | lr 1.92e-04
  ep   6 | train 0.0059 | val_mse 0.00099 | val_psnr 30.05 dB | lr 1.89e-04
  ep   7 | train 0.0048 | val_mse 0.00085 | val_psnr 30.72 dB | lr 1.85e-04
  ep   8 | train 0.0041 | val_mse 0.00095 | val_psnr 30.22 dB | lr 1.81e-04
  ep   9 | train 0.0036 | val_mse 0.00077 | val_psnr 31.11 dB | lr 1.76e-04
  ep  10 | train 0.0032 | val_mse 0.00069 | val_psnr 31.63 dB | lr 1.71e-04
  ep  11 | train 0.0030 | val_mse 0.00073 | val_psnr 31.36 dB | lr 1.65e-04
  ep  12 | train 0.0028 | val_mse 0.00070 | val_psnr 31.54 dB | lr 1.59e-04
  ep  13 | train 0.0026 | val_mse 0.00065 | val_psnr 31.88 dB | lr 1.52e-04
  ep  14 | train 0.0025 | val_mse 0.00062 | val_psnr 32.09 dB | lr 1.45e-04
  ep  15 | train 0.0024 | val_mse 0.00053 | val_psnr 32.78 dB | lr 1.38e-04
  ep  16 | train 0.0023 | val_mse 0.00056 | val_psnr 32.56 dB | lr 1.31e-04
  ep  17 | train 0.0022 | val_mse 0.00063 | val_psnr 32.02 dB | lr 1.23e-04
  ep  18 | train 0.0021 | val_mse 0.00051 | val_psnr 32.94 dB | lr 1.16e-04
  ep  19 | train 0.0021 | val_mse 0.00050 | val_psnr 33.01 dB | lr 1.08e-04
  ep  20 | train 0.0020 | val_mse 0.00053 | val_psnr 32.78 dB | lr 1.00e-04
  ep  21 | train 0.0019 | val_mse 0.00048 | val_psnr 33.20 dB | lr 9.22e-05
  ep  22 | train 0.0019 | val_mse 0.00048 | val_psnr 33.20 dB | lr 8.44e-05
  ep  23 | train 0.0018 | val_mse 0.00046 | val_psnr 33.34 dB | lr 7.67e-05
  ep  24 | train 0.0018 | val_mse 0.00047 | val_psnr 33.32 dB | lr 6.91e-05
  ep  25 | train 0.0017 | val_mse 0.00044 | val_psnr 33.61 dB | lr 6.17e-05
  ep  26 | train 0.0017 | val_mse 0.00041 | val_psnr 33.84 dB | lr 5.46e-05
  ep  27 | train 0.0016 | val_mse 0.00041 | val_psnr 33.92 dB | lr 4.78e-05
  ep  28 | train 0.0016 | val_mse 0.00038 | val_psnr 34.15 dB | lr 4.12e-05
  ep  29 | train 0.0016 | val_mse 0.00038 | val_psnr 34.24 dB | lr 3.51e-05
  ep  30 | train 0.0015 | val_mse 0.00036 | val_psnr 34.39 dB | lr 2.93e-05
  ep  31 | train 0.0015 | val_mse 0.00036 | val_psnr 34.48 dB | lr 2.40e-05
  ep  32 | train 0.0015 | val_mse 0.00035 | val_psnr 34.53 dB | lr 1.91e-05
  ep  33 | train 0.0014 | val_mse 0.00035 | val_psnr 34.53 dB | lr 1.47e-05
  ep  34 | train 0.0014 | val_mse 0.00035 | val_psnr 34.60 dB | lr 1.09e-05
  ep  35 | train 0.0014 | val_mse 0.00034 | val_psnr 34.67 dB | lr 7.61e-06
  ep  36 | train 0.0014 | val_mse 0.00033 | val_psnr 34.77 dB | lr 4.89e-06
  ep  37 | train 0.0014 | val_mse 0.00033 | val_psnr 34.79 dB | lr 2.76e-06
  ep  38 | train 0.0013 | val_mse 0.00033 | val_psnr 34.80 dB | lr 1.23e-06
  ep  39 | train 0.0013 | val_mse 0.00033 | val_psnr 34.85 dB | lr 3.08e-07
  ep  40 | train 0.0013 | val_mse 0.00033 | val_psnr 34.84 dB | lr 0.00e+00
[done] best val_mse=0.00033 (34.85 dB). Grids + weights in /data1/likun-share/junjxu/runs/decoder_viz/uniform_pusht
