run	domain	partition	nMSE	cos
sc_par_structpos_s1234	parabola	r/m-OOD	0.1363	+0.9541
sc_par_structpos_s42	parabola	r/m-OOD	0.1351	+0.9542
sc_col_structpos_s1234	collision	both-OOD	0.6166	+0.7193
sc_col_structpos_s42	collision	both-OOD	0.6063	+0.7151
sc_par_reweight_s1234	parabola	r/m-OOD	0.1058	+0.9631
sc_par_reweight_s42	parabola	r/m-OOD	0.0975	+0.9624
sc_col_reweight_s1234	collision	both-OOD	0.6462	+0.7086
sc_col_reweight_s42	collision	both-OOD	0.5988	+0.7380
sc_um_velocity_s1234	uniform_motion	both-OOD	0.1882	+0.9230
sc_um_velocity_s42	uniform_motion	both-OOD	0.1600	+0.9356
sc_col_velocity_s1234	collision	both-OOD	0.6222	+0.7232
sc_col_velocity_s42	collision	both-OOD	0.6476	+0.7106
sc_um_probe_s1234	uniform_motion	both-OOD	0.1777	+0.9346
sc_um_probe_s42	uniform_motion	both-OOD	0.2098	+0.9080
sc_col_probe_s1234	collision	both-OOD	0.6640	+0.6840
sc_col_probe_s42	collision	both-OOD	0.6596	+0.6883
sc_par_probeslot_s1234	parabola	r/m-OOD	0.0723	+0.9727
sc_par_probeslot_s42	parabola	r/m-OOD	0.0992	+0.9661
sc_col_probeslot_s1234	collision	both-OOD	0.6459	+0.6900
sc_col_probeslot_s42	collision	both-OOD	0.6148	+0.6911
sc_um_dynmlp_s1234	uniform_motion	both-OOD	0.1516	+0.9396
sc_um_dynmlp_s42	uniform_motion	both-OOD	0.1593	+0.9314
sc_par_dynmlp_s1234	parabola	r/m-OOD	0.1147	+0.9559
sc_par_dynmlp_s42	parabola	r/m-OOD	0.1551	+0.9376
sc_col_dynmlp_s1234	collision	both-OOD	0.5833	+0.7118
sc_col_dynmlp_s42	collision	both-OOD	0.5291	+0.7405
sc_um_ag_s1234	uniform_motion	both-OOD	0.1610	+0.9280
sc_um_ag_s42	uniform_motion	both-OOD	0.1578	+0.9279
sc_par_ag_s1234	parabola	r/m-OOD	0.1280	+0.9102
sc_par_ag_s42	parabola	r/m-OOD	0.1481	+0.9152
sc_col_ag_s1234	collision	both-OOD	0.5092	+0.7514
sc_col_ag_s42	collision	both-OOD	0.5535	+0.7347
sc_um_cons_s3072	uniform_motion	both-OOD	0.1245	+0.9561
sc_um_cons_s1234	uniform_motion	both-OOD	0.1329	+0.9480
sc_um_cons_s42	uniform_motion	both-OOD	0.1707	+0.9390
sc_par_cons_s3072	parabola	r/m-OOD	0.1384	+0.9502
sc_par_cons_s1234	parabola	r/m-OOD	0.1829	+0.9413
sc_par_cons_s42	parabola	r/m-OOD	0.1305	+0.9469
sc_col_cons_s1234	collision	both-OOD	0.5958	+0.7244
sc_col_cons_s42	collision	both-OOD	0.5933	+0.7275
sc_um_labelfree_s1234	uniform_motion	both-OOD	0.1508	+0.9309
sc_um_labelfree_s42	uniform_motion	both-OOD	0.1865	+0.8971
sc_par_labelfree_s1234	parabola	r/m-OOD	0.0805	+0.9261
sc_par_labelfree_s42	parabola	r/m-OOD	0.1085	+0.9022
sc_col_labelfree_s1234	collision	both-OOD	0.6576	+0.6941
sc_col_labelfree_s42	collision	both-OOD	0.6201	+0.7054
