run,type,slice,n,cos,nmse
collision_s1234_af_fr,分区,ID,203,0.9269,0.1619
collision_s1234_af_fr,分区,r/m-OOD,754,0.9365,0.1206
collision_s1234_af_fr,分区,v-OOD,290,0.794,0.4013
collision_s1234_af_fr,分区,both-OOD,1653,0.8233,0.3561
collision_s1234_af_fr,步长,h=1,100,0.9972,0.0092
collision_s1234_af_fr,步长,h=2,100,0.9955,0.0136
collision_s1234_af_fr,步长,h=4,100,0.9918,0.0214
collision_s1234_af_fr,步长,h=8,100,0.9869,0.0327
collision_s1234_af_fr,步长,h=16,100,0.8737,0.2566
collision_s1234_af_fr,步长,h=28,100,0.6761,0.6739
collision_s3072_af_fr,分区,ID,203,0.9482,0.1154
collision_s3072_af_fr,分区,r/m-OOD,754,0.9397,0.1027
collision_s3072_af_fr,分区,v-OOD,290,0.8159,0.3856
collision_s3072_af_fr,分区,both-OOD,1653,0.8225,0.265
collision_s3072_af_fr,步长,h=1,100,0.9978,0.0084
collision_s3072_af_fr,步长,h=2,100,0.9959,0.0132
collision_s3072_af_fr,步长,h=4,100,0.9931,0.0201
collision_s3072_af_fr,步长,h=8,100,0.9895,0.03
collision_s3072_af_fr,步长,h=16,100,0.8841,0.2006
collision_s3072_af_fr,步长,h=28,100,0.6812,0.5194
parabola_s1234_af_fr,分区,ID,464,0.9062,0.1364
parabola_s1234_af_fr,分区,r/m-OOD,319,0.7985,0.473
parabola_s1234_af_fr,分区,v-OOD,928,0.6113,0.8683
parabola_s1234_af_fr,分区,both-OOD,1189,0.5887,1.1229
parabola_s1234_af_fr,步长,h=1,100,0.9797,0.0386
parabola_s1234_af_fr,步长,h=2,100,0.9635,0.0746
parabola_s1234_af_fr,步长,h=4,100,0.9282,0.1716
parabola_s1234_af_fr,步长,h=8,100,0.8375,0.4119
parabola_s1234_af_fr,步长,h=16,100,0.5062,1.187
parabola_s1234_af_fr,步长,h=28,100,0.789,3115987.75
parabola_s1234_af_fr_gate_t3,分区,ID,464,0.8863,0.1786
parabola_s1234_af_fr_gate_t3,分区,r/m-OOD,319,0.7948,0.4792
parabola_s1234_af_fr_gate_t3,分区,v-OOD,928,0.6074,0.8806
parabola_s1234_af_fr_gate_t3,分区,both-OOD,1189,0.5875,1.1267
parabola_s1234_af_fr_gate_t3,步长,h=1,100,0.9795,0.0388
parabola_s1234_af_fr_gate_t3,步长,h=2,100,0.9631,0.0756
parabola_s1234_af_fr_gate_t3,步长,h=4,100,0.9259,0.1764
parabola_s1234_af_fr_gate_t3,步长,h=8,100,0.8317,0.4251
parabola_s1234_af_fr_gate_t3,步长,h=16,100,0.4986,1.2091
parabola_s1234_af_fr_gate_t3,步长,h=28,100,0.7907,3028241.5
parabola_s1234_af_fr_zs_a025,分区,ID,464,0.8591,0.2383
parabola_s1234_af_fr_zs_a025,分区,r/m-OOD,319,0.7711,0.4942
parabola_s1234_af_fr_zs_a025,分区,v-OOD,928,0.5548,1.0566
parabola_s1234_af_fr_zs_a025,分区,both-OOD,1189,0.5401,1.2809
parabola_s1234_af_fr_zs_a025,步长,h=1,100,0.9787,0.0405
parabola_s1234_af_fr_zs_a025,步长,h=2,100,0.9608,0.0808
parabola_s1234_af_fr_zs_a025,步长,h=4,100,0.9121,0.2118
parabola_s1234_af_fr_zs_a025,步长,h=8,100,0.7943,0.5301
parabola_s1234_af_fr_zs_a025,步长,h=16,100,0.4562,1.3423
parabola_s1234_af_fr_zs_a025,步长,h=28,100,0.7482,5126721.5
parabola_s1234_af_fr_zs_a050,分区,ID,464,0.7422,0.446
parabola_s1234_af_fr_zs_a050,分区,r/m-OOD,319,0.692,0.6068
parabola_s1234_af_fr_zs_a050,分区,v-OOD,928,0.4633,1.3096
parabola_s1234_af_fr_zs_a050,分区,both-OOD,1189,0.4649,1.4514
parabola_s1234_af_fr_zs_a050,步长,h=1,100,0.9751,0.0476
